GCC SIN
=======
 
# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =   100000
#
# 0.372166 seconds
# 268.697286 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
  3900	     0.29743	     0.00069
  3950	     0.27857	     0.00065
  4000	     0.26004	     0.00062
  4050	     0.24200	     0.00059
  4100	     0.22766	     0.00056
  4150	     0.21191	     0.00053
  4200	     0.19843	     0.00050
  4250	     0.18702	     0.00048
  4300	     0.17367	     0.00045
  4350	     0.16135	     0.00042
  4400	     0.15256	     0.00041
  4450	     0.14275	     0.00039
  4500	     0.13323	     0.00037
  4550	     0.12395	     0.00035
  4600	     0.11657	     0.00033
  4650	     0.10915	     0.00031
  4700	     0.10162	     0.00030
  4750	     0.09513	     0.00028
  4800	     0.08935	     0.00027
  4850	     0.08373	     0.00026
  4900	     0.07803	     0.00024
  4950	     0.07333	     0.00023
# extra	     0.02239
=======
# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 10000000
#
# 37.618124 seconds
# 265.829309 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20626.29785	    17.49113
    50	  3316.13463	     2.57855
   100	  1349.18262	     0.97214
   150	   750.02510	     0.50692
   200	   486.29816	     0.31055
   250	   343.89303	     0.20907
   300	   258.18134	     0.14998
   350	   201.44282	     0.11246
   400	   161.43978	     0.08705
   450	   132.71111	     0.06922
   500	   110.67774	     0.05612
   550	    93.72082	     0.04628
   600	    80.11950	     0.03868
   650	    69.22264	     0.03272
   700	    60.27749	     0.02795
   750	    52.77958	     0.02408
   800	    46.51669	     0.02091
   850	    41.13845	     0.01827
   900	    36.57178	     0.01607
   950	    32.63262	     0.01421
  1000	    29.22399	     0.01262
  1050	    26.23437	     0.01126
  1100	    23.64771	     0.01009
  1150	    21.32014	     0.00907
  1200	    19.29211	     0.00819
  1250	    17.47311	     0.00741
  1300	    15.88721	     0.00673
  1350	    14.43319	     0.00612
  1400	    13.14651	     0.00558
  1450	    12.00128	     0.00511
  1500	    10.96337	     0.00468
  1550	    10.02681	     0.00429
  1600	     9.18734	     0.00395
  1650	     8.41736	     0.00363
  1700	     7.72169	     0.00335
  1750	     7.10165	     0.00310
  1800	     6.53071	     0.00287
  1850	     6.00902	     0.00266
  1900	     5.53428	     0.00247
  1950	     5.09813	     0.00229
  2000	     4.70502	     0.00213
  2050	     4.33319	     0.00198
  2100	     4.00825	     0.00185
  2150	     3.70113	     0.00173
  2200	     3.41958	     0.00161
  2250	     3.16159	     0.00151
  2300	     2.92681	     0.00141
  2350	     2.70887	     0.00132
  2400	     2.51008	     0.00124
  2450	     2.32482	     0.00116
  2500	     2.15436	     0.00109
  2550	     1.99994	     0.00102
  2600	     1.85393	     0.00096
  2650	     1.71939	     0.00090
  2700	     1.59677	     0.00085
  2750	     1.48389	     0.00080
  2800	     1.37863	     0.00075
  2850	     1.28204	     0.00071
  2900	     1.19120	     0.00067
  2950	     1.10777	     0.00063
  3000	     1.03073	     0.00059
  3050	     0.95852	     0.00056
  3100	     0.89095	     0.00053
  3150	     0.83071	     0.00050
  3200	     0.77301	     0.00047
  3250	     0.72049	     0.00044
  3300	     0.67195	     0.00042
  3350	     0.62619	     0.00040
  3400	     0.58270	     0.00037
  3450	     0.54377	     0.00035
  3500	     0.50688	     0.00033
  3550	     0.47390	     0.00032
  3600	     0.44211	     0.00030
  3650	     0.41291	     0.00028
  3700	     0.38599	     0.00027
  3750	     0.36056	     0.00026
  3800	     0.33649	     0.00024
  3850	     0.31383	     0.00023
  3900	     0.29291	     0.00022
  3950	     0.27356	     0.00021
  4000	     0.25573	     0.00020
  4050	     0.23914	     0.00018
  4100	     0.22356	     0.00018
  4150	     0.20900	     0.00017
  4200	     0.19547	     0.00016
  4250	     0.18250	     0.00015
  4300	     0.17100	     0.00014
  4350	     0.15990	     0.00013
  4400	     0.14959	     0.00013
  4450	     0.14007	     0.00012
  4500	     0.13119	     0.00012
  4550	     0.12279	     0.00011
  4600	     0.11495	     0.00010
  4650	     0.10742	     0.00010
  4700	     0.10058	     0.00009
  4750	     0.09422	     0.00009
  4800	     0.08816	     0.00008
  4850	     0.08282	     0.00008
  4900	     0.07750	     0.00008
  4950	     0.07271	     0.00007
# extra	     0.01605
=======
GCC Con
=======
 
# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =   100000
#
# 0.382767 seconds
# 261.255614 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20521.13965	   175.91675
    50	  3283.16685	    25.94300
   100	  1323.56312	     9.74252
   150	   734.35618	     5.07399
   200	   481.96236	     3.11912
   250	   344.46477	     2.10322
   300	   256.26067	     1.50214
   350	   197.56233	     1.11741
   400	   159.38141	     0.86772
   450	   132.72669	     0.69184
   500	   110.13358	     0.55921
   550	    94.84122	     0.46357
   600	    80.01288	     0.38537
   650	    69.55089	     0.32675
   700	    61.37595	     0.28017
   750	    53.43223	     0.24048
   800	    46.80288	     0.20836
   850	    41.06714	     0.18121
   900	    37.08580	     0.16060
   950	    33.06669	     0.14161
  1000	    29.64336	     0.12597
  1050	    26.58071	     0.11211
  1100	    23.87003	     0.10062
  1150	    21.45399	     0.09029
  1200	    19.24276	     0.08123
  1250	    17.62976	     0.07360
  1300	    15.98370	     0.06679
  1350	    14.57149	     0.06084
  1400	    13.22727	     0.05553
  1450	    11.96042	     0.05070
  1500	    11.03137	     0.04657
  1550	    10.08018	     0.04266
  1600	     9.11184	     0.03918
  1650	     8.56678	     0.03644
  1700	     7.79232	     0.03351
  1750	     7.20357	     0.03109
  1800	     6.64290	     0.02888
  1850	     6.09930	     0.02672
  1900	     5.60710	     0.02476
  1950	     5.11967	     0.02301
  2000	     4.69073	     0.02129
  2050	     4.33484	     0.01983
  2100	     4.04681	     0.01865
  2150	     3.71090	     0.01728
  2200	     3.42827	     0.01609
  2250	     3.17313	     0.01501
  2300	     2.94039	     0.01413
  2350	     2.75403	     0.01325
  2400	     2.55415	     0.01247
  2450	     2.33582	     0.01160
  2500	     2.16451	     0.01091
  2550	     2.04364	     0.01032
  2600	     1.85540	     0.00957
  2650	     1.74690	     0.00907
  2700	     1.62408	     0.00848
  2750	     1.51520	     0.00801
  2800	     1.38403	     0.00744
  2850	     1.29396	     0.00709
  2900	     1.18698	     0.00658
  2950	     1.11837	     0.00633
  3000	     1.03761	     0.00593
  3050	     0.96864	     0.00560
  3100	     0.90924	     0.00530
  3150	     0.83904	     0.00497
  3200	     0.77956	     0.00466
  3250	     0.73683	     0.00450
  3300	     0.68071	     0.00420
  3350	     0.63377	     0.00399
  3400	     0.58745	     0.00373
  3450	     0.55159	     0.00356
  3500	     0.51393	     0.00335
  3550	     0.47782	     0.00314
  3600	     0.44563	     0.00298
  3650	     0.41964	     0.00284
  3700	     0.38503	     0.00267
  3750	     0.36486	     0.00255
  3800	     0.34174	     0.00243
  3850	     0.31676	     0.00228
  3900	     0.29606	     0.00216
  3950	     0.27623	     0.00203
  4000	     0.25649	     0.00194
  4050	     0.24511	     0.00187
  4100	     0.22682	     0.00175
  4150	     0.21116	     0.00166
  4200	     0.20045	     0.00159
  4250	     0.18569	     0.00151
  4300	     0.17192	     0.00141
  4350	     0.16005	     0.00131
  4400	     0.15483	     0.00131
  4450	     0.14197	     0.00122
  4500	     0.13356	     0.00115
  4550	     0.12383	     0.00110
  4600	     0.11678	     0.00105
  4650	     0.10823	     0.00099
  4700	     0.10246	     0.00095
  4750	     0.09500	     0.00088
  4800	     0.09020	     0.00085
  4850	     0.08465	     0.00082
  4900	     0.07847	     0.00076
  4950	     0.07258	     0.00072
# extra	     0.02388
=======
# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =  1000000
#
# 3.801928 seconds
# 263.024417 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20455.05322	    55.53613
    50	  3292.00823	     8.20918
   100	  1320.84668	     3.07869
   150	   741.23905	     1.60954
   200	   480.30598	     0.98395
   250	   343.50959	     0.66402
   300	   255.86034	     0.47421
   350	   199.83717	     0.35498
   400	   160.45196	     0.27475
   450	   132.01729	     0.21826
   500	   110.19195	     0.17686
   550	    93.55691	     0.14580
   600	    80.22942	     0.12192
   650	    69.49169	     0.10313
   700	    60.52664	     0.08805
   750	    52.98568	     0.07579
   800	    46.61649	     0.06570
   850	    41.31801	     0.05744
   900	    36.74056	     0.05053
   950	    32.72849	     0.04462
  1000	    29.46095	     0.03972
  1050	    26.35588	     0.03536
  1100	    23.78426	     0.03172
  1150	    21.48447	     0.02851
  1200	    19.38119	     0.02571
  1250	    17.63347	     0.02328
  1300	    16.03628	     0.02115
  1350	    14.54212	     0.01923
  1400	    13.26609	     0.01755
  1450	    12.08684	     0.01606
  1500	    11.07221	     0.01473
  1550	    10.13212	     0.01352
  1600	     9.26889	     0.01245
  1650	     8.51643	     0.01148
  1700	     7.77792	     0.01059
  1750	     7.18507	     0.00981
  1800	     6.59777	     0.00908
  1850	     6.05408	     0.00841
  1900	     5.59499	     0.00782
  1950	     5.14573	     0.00727
  2000	     4.73882	     0.00675
  2050	     4.38193	     0.00631
  2100	     4.03254	     0.00586
  2150	     3.73486	     0.00548
  2200	     3.45096	     0.00511
  2250	     3.18549	     0.00477
  2300	     2.95483	     0.00447
  2350	     2.73920	     0.00419
  2400	     2.54308	     0.00393
  2450	     2.34752	     0.00368
  2500	     2.18544	     0.00346
